Headline,Comment
Headline 1,"Hi May Mamas,I think my daughter has a very mild case of cradle cap…but as a FTM I’m not sure how to effectively treat it.It looks a white layer of dry, waxy skin. It’s does rub/peel off, but I’ve been avoiding doing so that way I don’t irritate..."
Headline 2,"Baby has eczema so we don’t bathe every night to prevent over drying but we use mustella and I think it’s irritating her too, any recommendations? Thanks"
Headline 3,"Breastfeeding.My first was a natural, I nursed her for 2 years. Zero issues.This baby… countless trips to lactation in the last 6 weeks. We tried the nipple shield and he instantly latched. 2 feedings later, refused it. There’s days I have hope..."
Headline 4,"So I’m a ftm I had my son vaginally almost 7 weeks ago. I bled until around 4 weeks then got my period back 6 weeks pp. I am still on my period it’s the 4th day of heavy bleeding it’s bright red and just a lot heavier than pre pregnancy, My..."
Headline 5,Anyone had intercourse at 4weeks ? Whats the chances of getting pregnant again ? Also I’ve heard even (pre-cum) can possibly get you pregnant ? True or false
Headline 6,4&1/2 weeks postpartum and I think Aunt Flo is back already ?? hate not being able to use tampons
Headline 7,"Anyone else hormones acting like a teenager & making you stink like armpets ? My sis has told me this happened to her while breastfeeding, i didnt believe her till now ?? i changed deodorant so many times, nothing works."
Headline 8,"I went on vacation and supplemented with formula and didn’t pump as I kept baby on the boob more than usual. Now my supply is like GONE. I have been pumping more to try and get it back up, but I feel like I’m done for ??"
Headline 9,Any suggestions on remedies? 100% breastfed and she hasn’t had a bowel movement in almost 3 days now
Headline 10,"My baby is 7 weeks old. I nurse her mostly, and pump once a day and give her bottle.Sometimes, I see she is fussy at latching. Also, sometimes she is hungry but she fights latching! Can having bottle once a day cause nipple confusion?"
Headline 11,Mine doesn’t ? Is that bad ?
Headline 12,Anyone else still bleeding a little at 2 months post birth ? Not a lot just enough to need a pantyliner and be annoying
Headline 13,it just flies out all day longanyone else
Headline 14,"My little guy has had two sores from diaper rash on his booty for two weeks. We've tried every type of diaper cream, medicine for yeast/fungal rash, airing it out/naked time, baking soda soak, switching diaper brands and using only ""clean"" diapers..."
Headline 15,"So last night I had cramps/contractions for THREE hours after we had sex. I started timing them and at one point the app told me to go in, but something in my gut told me this wasn’t the real deal so we stayed home. They stopped not too long..."
Headline 16,"3 Weeks post baby, almost lost all the baby weight minus 11 pounds of the 35 I gained. Wondering if thats okay ?"
Headline 17,"Anyone doing combo feeding?I would like to do a schedule like - 2 breastfeeds then one bottle. I’m seeing I have supply issues, every 3rd or so breastfeed attempt my baby gets so frustrated despite being on the breasts for quite some time, and..."
Headline 18,"So I’m one month postpartum, and I don’t bleed in the days that I’m resting most of the time, but any day that I’m up and more active I’m bleeding bright red with small clots still. Anyone else? Vaginal birth and breastfeeding."
Headline 19,Hi! My LO will be 8 weeks on Tuesday and is soooo cranky and fussy and crying all the time! She wants to eat every 2 hrs it feels like! Is anyone else experiencing this?
Headline 20,Anyone else deciding to rely on condoms to avoid hormonal birth control?I feel stupid asking this but how reliable are they? I tried the pullout method.. we made no mistakes at all but I must have gotten pregnant from precum so that is no longer...
Headline 21,"My little guy is 8 weeks and has been fussy since about 3-4 weeks old. Evenings are the worst, but daytime is also tough, as he seems to only nap for 30 min chunks at a time! From 11 pm to 7 am he sleeps really well though! I’ve cut out dairy..."
Headline 22,"My husband just tested positive for covid after testing negative on Saturday when he started feeling symptoms. I think he caught it from his work trip last week. So far, I’ve tested negative and feel fine (except for the whole 37 weeks pregnant..."
Headline 23,we have a family of 6 now! and are looking for a mini van. called a couple car dealership and they dont have vans to test drive!!! just order! say whattt?!one suggested renting a van from hertz to try!so.if you have tried both or have a oddysey...
Headline 24,"I’m a first time mom and scheduled to return to work when my baby is 11 weeks old. I’ve been doing some reading, and it appears the general consensus is it’s best to wait until babies are 12+ months before sending them to childcare. Working..."
Headline 25,"Hit me with your best tips for relieving trapped gas in baby. The past couple of nights she just been tightening her stomach and grunting a ton, waking up every 10 minutes if I’m not holding her. Pretty sure it’s gas. Bicycle legs and tummy..."
Headline 26,"So we recently had to stop swaddling my baby because he rolled over, but every sleepsack I’ve tried is way too big and his head can fit through the neck hole. I’ve tried the smallest size in the halo sleepsack, burts bees, and yoofoss on Amazon...."
Headline 27,My 5 week old boy randomly has a leg shake anyone experience this or experiencing it as well?
Headline 28,My 1 month old tends to usually mouth breathe when he sleeps. Is this normal or should I bring it up to my pediatrician ?
Headline 29,"i hate how much i weigh my emotional well being in my nursing feeds. like if baby has good day so do i, when baby has an off day i automatically think I'm doomed and this is it for us and our breastfeeding journey. I'm spiraling today. any tips?..."
Headline 30,What time is everyone putting their babes down for bedtime? Our girl will be 4 weeks tomorrow and we have such a hard time getting her down. She will be asleep or close to sleep and we lay her down in the bassinet and she wakes up and cries....
Headline 31,"We’re not entirely sure still, but our lactation consultant think our 1 month old has a tongue and lip tie. His doctor thinks he might just have a lip tie. So we’re taking him to an ENT next week to see for sure. The ENT where I am can fix it..."
Headline 32,I feel terrible. My son won’t let my husband hold him. He will let friends and family hold him but as soon as my husband does he starts crying. Has anyone experienced this? I can see it breaks my husbands heart and I feel so bad for him.
Headline 33,"My little guy is 7 weeks 3 days and ever since he was born it’s been a struggle. He had a really bad tongue tie that they fixed a few hours after birth but it caused him to be unable to latch for a few days, we supplemented from the beginning..."
Headline 34,I’ve noticed this red spot on my babies pinky toe and it’s not a bug bite so I’m wondering if it’s just a birthmark or something more serious?
Headline 35,"I just dropped my Roku remote on my 8 week olds head (left parietal area) from about 12 inches away. She cried right away. Unfortunately it’s bedtime and she is a good sleeper, so I can’t assess her properly until tomorrow. I feel awful as a..."
Headline 36,Baby isn’t showing any symptoms but I am freaking out.
Headline 37,What are you doing to sleep through the newborn noises/grunts while LO is in bassinet next to you?I’m struggling to get any sleep because I’m waking up for every little noise
Headline 38,I’m a paranoid FTM. Which water am I supposed to be boiling for my babies bottle? I’ve been using the similac total 360 care ready made bottles but now that my son is 5 weeks he is gobbling them down like nothing. financially we need to make...
Headline 39,I tried to breastfeed once my baby was born but unfortunately he would have trouble latching and I barely produced milk. I made the hard decision to switch him to formula. I have tried 3 different types of formula but he always seemed to have...
